"","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","P024","P025","P026","P027","P028","P029","P030","P031","P032","P033","P034","P035","P036","P037","P038","P039","P040","P041","P042","P043","P044","P045","P046","P047","P048","P049","P050","P051","P052","P053","P054","P055","P056","P057","P058","P059","P060","P061","P062","P063","P064","P065","P066","P067","P068","P069","P070","P071","P072","P073","P074","P075","P076","P077","P078","P079","P080","P081","P082","P083","P084","P085","P086","P087","P088","P089","P090","P091","P092","P093","P094","P095","P096","P097","P098","P099","P100"
"TRMT12",8.80137,8.11253,8.35054,9.56791,8.86347,8.10169,7.77049,8.73675,7.85353,8.60307,8.36323,9.32957,8.48106,9.42414,9.04628,8.11857,8.12915,7.78438,8.60448,9.51674,8.09892,9.22364,8.84578,8.50502,8.08534,8.54936,8.05238,9.91402,8.88515,9.1057,8.03767,8.71404,8.09016,8.63407,8.72535,9.37312,9.22528,8.15354,8.2852,8.42189,8.92431,8.68976,8.60835,7.98178,7.90699,8.75509,8.14109,9.48047,8.27694,7.19252,8.24471,8.80112,8.67394,8.00366,8.85725,7.8107,8.7687,8.60037,8.01528,7.9968,9.40509,8.61468,8.50835,7.87902,8.1641,8.49872,8.50029,8.59449,7.82477,7.89911,8.93607,7.82005,9.00077,9.02552,9.02128,8.81378,8.57364,8.77176,8.01983,8.34948,8.20086,8.60179,8.07203,8.82801,8.30703,7.82442,7.71927,9.97412,9.73018,8.31838,9.02811,7.13854,8.62921,7.99607,8.24168,8.56382,8.69421,9.46267,8.41927,9.2489
"MVB12A",7.60529,7.58911,8.13434,7.95594,6.99748,7.70128,6.92265,7.96792,7.39029,7.74519,7.16818,8.59664,8.23002,6.82634,7.8527,7.66644,7.88667,8.06299,8.45394,8.07745,7.81323,7.93856,7.92291,7.73691,8.20145,7.62343,7.70134,7.78842,7.48534,7.92228,7.98038,8.24386,7.91379,7.83345,8.15253,8.17784,7.94887,7.78359,7.87012,6.45231,6.03426,7.94593,7.00865,7.62395,8.4789,7.20414,8.24353,7.81503,7.86082,6.61762,7.45269,7.71454,7.99151,8.12076,5.90682,8.0445,7.95383,8.23783,7.6522,8.16537,7.50657,7.30369,7.22714,6.99301,7.8183,6.13172,7.58793,7.42094,7.5657,7.96084,8.33826,7.70585,6.526,8.11929,8.04839,7.68781,8.38979,7.60411,8.01619,7.88441,7.22622,7.98298,8.59359,8.31957,8.33674,7.83058,6.90396,7.00152,8.26972,7.62266,7.42304,7.33812,7.55348,6.40002,7.42379,7.56908,7.80836,8.3393,6.97144,7.40471
"ARHGDIA",6.96786,7.23414,7.13742,7.91292,7.57341,7.93007,7.63136,7.42155,8.0107,6.84847,7.02863,8.31275,6.88283,8.85389,7.21576,8.60769,6.90017,6.87652,8.30688,7.94061,7.17608,7.12409,8.74014,7.1878,6.89472,6.84276,8.62328,7.83738,7.16919,6.80724,7.92539,8.41113,8.32377,8.14569,7.98871,7.98001,8.28659,7.08392,7.26851,7.5344,7.39778,7.86985,6.95541,7.88596,7.14803,7.34318,8.01732,7.30604,7.93586,8.51641,7.69499,7.07014,7.04877,7.88926,7.75188,7.13661,8.39963,9.01517,8.27543,8.07084,6.71296,7.41957,7.02895,7.3773,8.0575,7.77372,7.7433,6.93874,8.63541,7.95277,7.95829,8.01612,7.93464,7.09483,7.20658,7.16293,7.18653,6.92115,7.04194,7.50094,7.26278,7.22055,8.30037,7.04631,7.79933,6.97034,8.21428,7.52316,7.61081,7.01324,6.86019,7.12041,7.9331,7.30539,7.36117,7.97749,9.53737,7.78857,7.8199,7.71776
"KIAA1614",6.42199,6.23818,6.64328,6.71387,6.43482,6.5828,6.40164,6.05829,6.3182,6.35718,6.9452,6.70265,6.42963,6.62692,6.34235,6.41436,6.52485,6.14586,6.58507,6.63445,6.64037,6.43599,6.2067,6.3472,6.21687,6.12912,6.59544,6.3796,6.30342,6.31753,6.30302,6.57212,6.9486,6.75066,6.44858,6.28276,6.65344,6.34413,6.5283,6.17169,6.55184,6.03365,6.10407,6.44375,6.24182,6.68427,6.29202,6.39437,6.40668,6.67823,6.47272,6.52981,6.41826,7.03352,6.27766,6.23251,6.60508,7.30847,6.60552,6.36627,6.64908,6.21228,6.44005,6.62775,6.40819,6.43561,6.36488,6.29514,6.52943,6.73954,6.37108,6.35241,6.30896,6.58714,6.34591,6.53613,6.26321,6.45431,6.30535,6.64313,6.51262,6.67985,6.81026,6.45477,6.54451,6.41721,6.73891,6.64522,6.42223,6.32687,6.30375,6.44958,6.48916,6.48966,6.25489,6.47321,6.50208,6.4371,6.56931,5.77834
"MAPKAPK5",8.30695,8.51082,9.26166,7.64553,8.2599,7.96387,7.52299,8.3746,8.82655,8.08883,7.81814,7.9059,7.77114,8.47966,8.17702,8.61611,8.30168,7.59982,9.0528,8.46397,8.26177,8.34742,8.21701,8.11521,7.73653,8.54307,8.77809,8.50274,8.14528,7.99695,7.8595,9.11169,7.98048,8.08737,8.32366,9.10994,8.39563,7.42786,7.83988,8.47546,8.46694,7.61575,8.26978,7.86637,8.34763,8.01652,8.13843,8.86948,8.13831,7.78606,7.34044,7.92156,8.44074,7.10891,8.50359,7.81298,8.29354,8.01253,7.6888,7.75621,8.15898,7.26277,8.13095,8.01714,7.15334,8.41367,8.02884,8.21553,8.47367,7.53632,8.51255,8.09189,8.43584,8.3916,8.17617,7.59304,8.14769,8.13546,8.44708,7.85778,8.17783,8.33498,7.88257,8.21638,7.76758,8.04,7.69152,8.75797,8.19393,7.82635,7.90529,8.25455,8.54935,8.04362,8.07922,8.15313,7.22157,8.1442,7.74155,8.63221
"GTSE1",7.16306,6.28004,7.8083,6.82204,6.79953,6.35135,5.74509,7.03859,7.95094,6.60415,5.4434,6.98031,7.60153,7.69309,7.47479,7.02672,7.95779,6.32728,7.22298,7.20613,6.76777,6.86721,6.80005,7.12421,7.06105,6.89047,6.7977,8.91017,7.03196,7.06132,5.63808,7.45862,6.75438,7.42382,7.52289,8.37198,6.87568,7.43661,6.45139,6.48602,6.18278,7.43712,6.63448,6.26015,6.29929,6.3346,7.6824,6.72626,7.28694,6.69298,5.40028,6.50482,7.71256,5.36073,6.33934,5.06648,6.42436,7.08064,7.49844,5.27955,7.26768,7.0757,5.06961,6.58846,7.30676,6.0365,6.32379,6.53502,7.06008,5.83084,6.62127,5.36044,6.12354,7.60788,6.65801,5.82561,5.36746,6.62709,6.16992,7.10887,6.98016,6.48712,6.01197,7.75174,6.73181,6.25889,5.41102,7.39589,7.18508,5.42884,6.68171,6.30376,6.99415,5.10332,6.31251,4.80536,6.6055,6.95547,6.35739,7.95201
"TIGD1",7.30514,6.14703,8.0254,8.0757,7.71017,6.33558,6.65425,6.45594,6.96531,6.54396,7.05185,7.25468,7.51914,8.91878,7.45416,7.26177,7.70491,6.96053,5.73499,5.64706,6.55709,6.74085,7.50019,6.88452,7.43472,7.74779,6.51378,8.69068,7.39522,8.65988,7.13469,8.32682,6.59561,7.54231,8.02022,7.23307,6.27935,7.72448,6.96192,7.73712,6.92403,7.31108,7.37544,6.33003,7.34634,6.58997,7.64639,6.44884,7.01236,6.36893,6.41543,6.72459,8.20546,7.23324,6.91477,7.01943,8.19601,7.97495,7.08091,5.96173,7.17166,6.13094,7.0161,7.38447,7.5828,7.8279,7.13661,7.78418,6.46554,6.75364,7.86439,6.64687,6.86108,6.40781,6.3525,7.07085,6.74338,7.72993,6.48946,8.09828,6.42655,6.5761,6.84307,8.34172,8.04407,7.41205,5.89978,6.50089,6.98397,6.99454,8.36776,6.09044,4.88871,6.78374,7.08901,6.95686,8.18728,7.54231,8.05199,8.04363
"LOC100506374",5.75638,5.14746,5.33243,8.69176,5.42986,5.89933,5.47025,6.42357,5.71454,5.18619,5.62808,6.55456,5.04638,7.09537,5.23774,8.90196,5.67815,5.23625,6.04684,6.5846,8.5613,5.5575,5.59126,8.21907,4.94553,6.96654,5.63257,5.1575,5.31868,6.4688,5.72026,5.69729,6.05691,8.0811,6.93285,5.33938,5.57772,8.68218,5.4549,6.11531,5.36964,5.81369,8.11946,5.75053,5.4268,5.58726,4.9846,5.20846,5.58217,6.59861,5.93304,5.28263,6.47419,5.96762,5.62368,6.08277,5.72768,6.04986,5.89894,5.41794,5.68289,6.54685,5.65575,5.44342,6.03301,7.22727,7.13802,5.60352,6.29266,5.7872,6.8297,5.56476,5.75325,5.84438,5.90725,5.38419,5.39138,5.86496,5.37621,6.99976,5.63185,5.61502,5.5504,6.36774,5.77673,5.36681,6.12788,5.32896,6.92023,7.50206,5.1551,5.55322,5.9635,5.83672,7.81411,5.56431,7.68704,6.8729,5.4652,5.18611
"NPR3",5.93312,6.32067,5.28735,8.19194,5.92946,6.70687,6.81723,6.38923,5.12799,6.43264,5.54416,6.69009,5.61037,6.3069,5.15736,9.45161,5.43425,6.73011,5.65736,8.73848,6.29175,6.16664,6.28856,7.02064,6.87904,9.31718,5.21757,5.00959,6.90688,6.01562,6.72164,5.04443,7.09434,6.83639,6.59151,8.99129,5.69207,6.97546,6.02829,6.61014,5.15414,7.2137,6.79458,6.20912,4.9769,6.24441,5.3028,5.75857,5.09813,6.10285,6.73933,6.08944,5.82358,6.29541,6.17172,6.18568,5.30559,6.01231,6.14247,6.32585,7.53647,8.44041,5.97359,5.71537,6.67591,6.62644,6.53118,5.17339,6.90117,6.66848,7.05938,5.81805,5.53719,6.30319,5.82626,6.22262,5.53894,5.49216,6.05598,5.70774,6.34377,5.94947,6.00486,5.77758,7.84944,6.89972,7.00681,5.28619,6.68119,7.36094,4.98842,5.77531,5.3927,7.13588,5.98905,6.85283,7.77305,8.78469,6.47038,5.41718
"PPFIBP2",8.21665,7.65233,7.15667,8.4788,8.10781,8.42502,8.13385,8.91325,7.81413,8.23087,8.76106,8.34628,8.96141,8.13261,8.56669,8.93652,7.69878,9.08277,9.01985,8.515,7.7025,8.43881,8.28082,8.61651,8.18202,8.6608,7.21341,8.5548,7.90361,8.1025,9.22526,7.43193,8.36791,8.578,8.7689,7.98728,9.79606,8.85427,8.05868,10.16988,8.28225,8.65887,8.49716,7.7745,7.57493,7.49841,7.21688,8.25462,7.97842,8.49591,9.79461,8.18624,7.30478,8.09607,7.56197,7.70378,7.65328,6.98043,7.64792,9.35976,9.16075,7.42591,9.35768,9.98998,7.39362,7.52904,6.98849,7.5781,7.47357,9.21321,8.56249,7.15825,7.67604,8.42762,7.64622,7.60096,8.50018,7.60126,9.2689,9.06638,6.51269,8.3286,8.51817,9.72,7.2929,8.2479,8.94973,7.64672,7.14398,8.33809,7.99152,7.93403,8.80511,8.67789,7.95475,8.00238,8.68697,8.52588,6.66529,7.90305
"LINC01420",10.97708,9.78134,10.41994,9.68471,9.15616,10.21196,9.57679,9.14728,10.26971,9.96418,9.28292,10.17193,10.19165,9.48941,10.60228,9.23558,9.86047,10.31359,8.53868,9.55979,9.70682,9.89172,10.46974,9.67499,9.47589,9.30156,10.18496,9.57008,8.15689,9.74313,10.50101,8.74181,9.12475,10.53685,10.02547,7.80756,9.59497,9.71097,9.69254,9.34175,10.74965,9.71632,10.15017,9.48903,8.64819,10.08988,10.07207,7.74661,9.6961,7.94283,9.51096,9.50214,10.70818,9.58757,9.58498,10.34641,10.53045,8.88598,9.49986,9.73997,10.08893,9.40663,9.17101,9.52348,10.19717,10.11559,9.41023,9.51615,9.78096,9.09298,9.3456,9.53513,9.43654,9.69628,10.60774,9.48814,9.61404,10.12217,9.52024,9.64326,9.70828,9.61072,9.99596,9.71259,8.88604,9.86367,9.78076,9.89591,9.97477,10.01137,10.15604,9.82772,10.39126,9.6462,10.0875,9.96782,10.30204,9.35983,9.39911,9.8445
"SLC39A6",7.42827,8.12472,7.59086,9.32937,7.6655,8.52851,8.59096,8.14036,8.44279,7.42613,8.04174,8.43972,6.95321,9.48317,7.73663,9.42738,8.22865,7.97717,7.66147,8.93761,7.86566,8.11564,7.36436,8.60549,8.41807,8.47468,8.28912,9.57839,8.57548,8.34899,7.51524,8.67797,7.04167,8.87845,7.82692,9.08788,8.24847,7.38371,7.47408,9.22995,7.95463,8.00869,8.15321,8.42556,7.4704,8.66287,8.60822,7.85581,8.64812,8.63437,6.97923,8.00697,8.53246,7.13209,10.29573,8.24567,8.19877,9.69779,7.92692,7.69839,8.10826,9.50317,6.84513,6.333,9.12593,9.29201,9.01578,7.84423,7.09462,8.21036,10.12471,8.52061,9.14259,8.22336,7.79347,7.92123,8.44734,7.86902,8.27857,7.84708,9.3206,8.08744,9.41831,9.03011,8.97818,7.66516,9.09825,7.8721,7.94848,8.31054,7.79575,7.58071,7.95291,7.92195,8.39183,7.96933,8.34291,8.56428,9.35185,9.80558
"SPATA17",5.88106,4.53656,6.59724,5.28549,5.71988,5.05313,5.86721,5.03726,5.16089,4.4138,4.75763,5.00912,6.98042,4.35471,6.58992,4.49033,5.49341,5.80562,4.48146,4.9658,5.21879,4.90663,5.36857,5.28655,5.60526,5.18074,4.48343,6.48121,5.58836,5.84425,5.817,4.85243,4.63368,6.21281,5.74537,4.59838,4.89279,4.90487,6.34504,5.27554,4.727,5.36781,5.22805,4.91519,4.48337,5.45679,6.11042,4.68951,5.39046,4.48632,4.66288,5.1429,6.41013,4.69065,4.34865,5.2359,5.80614,4.53548,6.75852,5.451,4.6361,4.78302,4.86112,5.77474,5.52745,4.8579,5.0826,4.1868,4.93618,4.86783,4.94208,5.15983,4.40918,4.68642,5.24586,5.83,5.11195,6.22391,5.06706,5.0744,4.33409,4.59213,5.56238,4.77263,5.52385,5.5184,5.19251,5.84395,5.08397,4.88052,5.02055,5.34075,4.31118,4.67458,5.19576,7.97119,5.19931,4.28972,5.86415,6.48652
"KDM3A",10.1235,9.63671,10.22073,9.62381,9.48445,9.02841,9.48101,10.21988,9.63228,9.67069,10.29903,9.95551,9.26373,10.70164,11.05125,10.14316,10.38409,9.69022,9.92427,10.68236,10.40138,9.96945,9.65225,10.01243,9.79831,11.25729,9.67531,10.55668,10.21354,10.22949,9.25937,10.35524,9.44392,10.64589,10.27906,10.78451,9.3701,9.49589,9.60878,10.40286,9.99641,9.70712,10.52173,9.67617,10.01057,9.53954,9.79621,9.07465,10.79647,10.54464,9.22405,9.88296,10.72956,9.74853,9.93936,9.87145,9.55577,9.15655,10.01959,9.58238,10.76281,10.57718,9.69053,9.33486,9.89353,10.45012,10.68415,10.07195,9.04009,10.3699,10.24892,10.30415,9.49918,10.63154,10.22447,9.84172,9.78593,10.3066,9.82718,10.78369,9.87908,9.76636,9.11589,11.06126,10.11894,9.55355,8.91191,9.99173,10.12456,9.94243,11.00054,9.35084,10.02151,9.36166,9.42227,9.10191,10.05523,10.62355,9.68139,10.20124
"CKB",8.53514,11.02638,10.39223,10.98956,10.78434,10.47608,10.55641,9.34794,11.03804,11.07998,10.69098,8.71599,10.67765,11.50345,8.65796,10.34285,8.83073,9.88712,7.71174,11.15815,9.03412,10.71757,10.90461,10.17541,10.84443,10.91447,10.51316,12.13419,7.55115,11.01721,11.45452,10.76494,8.96685,8.87127,9.68518,11.35858,8.79466,10.82176,10.62571,9.01087,8.45428,9.32197,10.73884,10.17056,10.27666,10.97125,11.11495,10.37709,11.73769,9.07009,10.8669,9.94744,7.99584,9.0053,9.55418,10.57697,10.70415,10.14799,10.56386,10.03087,10.75733,9.94126,11.45453,9.6518,9.76466,7.70331,10.55207,11.2834,11.83433,9.89493,10.58814,6.94546,9.40447,12.08246,8.90501,11.08275,11.285,9.08537,11.08125,8.99145,10.08675,9.2175,7.81652,11.54107,8.29013,9.26201,9.39319,8.38594,10.70135,9.66539,9.73623,12.36072,9.07782,10.0402,10.35384,11.14617,10.99382,8.31285,10.82133,11.98414
"BRINP2",4.48378,4.88577,4.61062,4.86372,4.4997,4.3832,4.39084,4.60505,4.56483,4.60715,4.71753,4.52466,4.79645,4.6859,4.67781,4.69191,4.73621,4.67489,4.48057,4.89788,4.63912,4.74752,4.72766,4.63209,4.67211,4.24732,5.16097,4.51028,4.45691,4.69798,4.7511,4.70785,4.58928,4.65606,4.66654,4.72746,4.61453,4.6392,4.59303,4.75114,4.75632,4.85641,4.5911,5.19743,4.53268,4.55635,5.86062,4.64776,5.05136,4.60844,4.24976,4.83292,4.77043,5.02753,4.47527,4.54864,4.70699,4.62242,4.99946,4.77043,4.74072,4.53502,4.9967,4.71106,4.84328,4.58584,5.17174,4.96588,4.53838,5.02016,4.79507,5.20941,4.68913,4.80871,4.57103,4.67819,4.58337,4.59941,4.8156,4.67415,4.81649,4.56468,4.89984,4.60486,4.79862,4.93299,5.16339,4.58931,4.60191,5.78315,4.62434,4.71325,4.79053,4.75708,4.66776,4.63997,4.70998,4.18678,4.61726,5.28653
